Stage,Title,Objective,Primary input,Expected output
1,Project Scaffold and Repository Foundation,Create a clean iOS 17+ SwiftUI project foundation without implementing all app features yet.,"02_TECHNICAL_CONTRACTS/01_BUILD_STACK_LOCK.md, 02_TECHNICAL_CONTRACTS/app_config_v1.json",A compiling SwiftUI app shell.
2,Content and Manifest Loader,Create bundle-based content manifest loading so future screens render from structured data instead of hard-coded scattered content.,"02_TECHNICAL_CONTRACTS/03_MANIFEST_CONTRACTS.md, 02_TECHNICAL_CONTRACTS/route_manifest_seed_v1.json",Codable manifest models and bundle loader.
3,Persistent App Shell and Navigation,Implement the stable navigation model and audio mini-player placeholder.,"01_SOURCE_OF_TRUTH/02_mvp_screen_spec_pack.xlsx, 02_TECHNICAL_CONTRACTS/app_config_v1.json","Root shell, navigation router, mini-player placeholder, first-launch behavior."
4,Static Screen Renderer and Module Library,"Render the educational screens with expandable cards, play/transcript controls, and module routing.","01_SOURCE_OF_TRUTH/02_mvp_screen_spec_pack.xlsx, 01_SOURCE_OF_TRUTH/05_full_audio_manifest.csv",Reusable screen/card system and module browsing.
5,Audio System and Transcript Binding,Implement reliable local audio playback for embedded m4a assets and transcripts.,"01_SOURCE_OF_TRUTH/03_mvp_audio_manifest_recording_queue.xlsx, 01_SOURCE_OF_TRUTH/04_tts_recording_queue.csv, 01_SOURCE_OF_TRUTH/06_sound_sample_placeholders.csv","AudioController, AudioCard integration, transcript binding."
6,SwiftData Local Storage and My Plan,"Implement local-only persistence, My Plan behavior, and delete/reset controls.","01_SOURCE_OF_TRUTH/08_local_data_schema.xlsx, 01_SOURCE_OF_TRUTH/09_local_data_schema.json","SwiftData models, local repositories, My Plan, delete/reset behavior."
7,Core Exercise Components,Implement the MVP exercises and local entry workflows.,"01_SOURCE_OF_TRUTH/02_mvp_screen_spec_pack.xlsx, 01_SOURCE_OF_TRUTH/08_local_data_schema.xlsx",Interactive exercise components and local save flows.
8,Sound Therapy Annex and Sound Samples,Implement the dedicated practical sound therapy area.,"01_SOURCE_OF_TRUTH/06_sound_sample_placeholders.csv, 02_TECHNICAL_CONTRACTS/asset_placeholders_v1.json","Sound Therapy Annex, sample cards, thermometer slider."
9,Mindfulness Annex and Guided Practices,Implement the dedicated mindfulness practice area.,"01_SOURCE_OF_TRUTH/02_mvp_screen_spec_pack.xlsx, 01_SOURCE_OF_TRUTH/07_visual_interaction_manifest.xlsx",Mindfulness Annex and simple breathing pacer.
10,"Settings, Reminders, Safety, and Privacy","Implement settings, local reminders, safety information, and local data controls.","01_SOURCE_OF_TRUTH/08_local_data_schema.xlsx, 01_SOURCE_OF_TRUTH/02_mvp_screen_spec_pack.xlsx","Settings, local reminders, safety/privacy pages."
11,Visual Polish and Placeholder Replacement Hooks,"Add visual assets, placeholders, and consistent modern/minimal warm-professional styling.","01_SOURCE_OF_TRUTH/07_visual_interaction_manifest.xlsx, 02_TECHNICAL_CONTRACTS/asset_placeholders_v1.json",Design system and placeholder asset implementation.
12,"QA, TestFlight Prep, and Build Review",Prepare for private internal testing while preserving educational/privacy boundaries.,05_QA_AND_REVIEW/01_QA_CHECKLIST.md,Internal test-ready build and QA notes.
