loop,queue_order,section_header,audio_segment_id,audio_label,audio_transcript,target_audio_length,estimated_audio_length,audio_word_count,playback_behavior,default_state,sync_source
About Tinnitus,1,Why Tinnitus Is More Than Noise,AT-000-OV,Why Tinnitus Is More Than Noise,"Tinnitus often feels like it is only about the sound: the ringing, buzzing, hissing, pulsing, or other noise that will not seem to turn off. That sound is real, and it can be distressing. But the experience of tinnitus is also shaped by what is happening in your body, your mind, and your daily life. This section introduces that bigger picture so the rest of the app makes sense.",45-60 sec,20-45 sec,69,Manual next; stop at end. Autoplay optional in settings and default off.,Always visible,Current Education Text -> Audio Transcript
About Tinnitus,2,Seeing the whole picture,AT-001-SEEING,Seeing the whole picture,"It is natural to focus on the sound first. When tinnitus feels loud or intrusive, it can seem like everything would be better if the sound simply disappeared. Sound matters, and sound therapy is still one of the core tools we will use. But tinnitus distress often grows when other parts of life get pulled into the cycle: poor sleep, stress, fear, frustration, avoidance, and feeling misunderstood. Looking at the whole picture gives you more places to make useful change.",45-60 sec,20-45 sec,80,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded by default,Current Education Text -> Audio Transcript
About Tinnitus,3,Why go beyond the sound?,AT-002-BEYOND,Why go beyond the sound?,"If tinnitus were only a hearing issue, then adding more sound would solve the whole problem. Many people do benefit from hearing aids, background sound, or other sound therapy tools, but those tools may not fully address the emotional and lifestyle impact of tinnitus. That does not mean sound therapy doesn’t work. It means tinnitus is being influenced by more than one system. The goal is not to find one perfect fix. The goal is to learn which parts of the experience you can influence, then build a plan around those levers.",60-75 sec,20-45 sec,92,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded by default,Edited Education Text -> Audio Transcript
About Tinnitus,4,"Body: hearing, sound, and the nervous system",AT-003-BODY,"Body: hearing, sound, and the nervous system","The body side of tinnitus includes the physical and medical parts of tinnitus. This may include hearing loss, noise exposure, aging, medication effects, injury, jaw or neck factors, or changes in how the auditory system and nervous system respond to sound. Sound therapy and hearing care live here because they change what the ears and brain are receiving. If hearing loss is present, audiology care and appropriate amplification can be a major part of tinnitus management.",45-60 sec,20-45 sec,76,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded by default,Edited Education Text -> Audio Transcript
About Tinnitus,5,"Mind: attention, emotion, and meaning",AT-004-MIND,"Mind: attention, emotion, and meaning","The mind side of tinnitus includes your reactions to tinnitus: attention, worry, fear, frustration, self-talk, and the meaning your brain attaches to the sound. This is not saying tinnitus is imaginary. The sound is real. The point is that your reaction to the sound can make it feel more threatening, more intrusive, or harder to live with. Skills like mindfulness, distress tolerance, cognitive reframing, acceptance, and self-compassion all work with this part of the tinnitus experience.",45-60 sec,20-45 sec,76,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded by default,Edited Education Text -> Audio Transcript
About Tinnitus,6,"Life: sleep, routines, relationships, and the world around you",AT-005-LIFE,"Life: sleep, routines, relationships, and the world around you","The life side of tinnitus includes the ways tinnitus changes your day-to-day routines and relationships. You might avoid quiet rooms, skip social events, struggle at work, feel misunderstood, or notice that sleep becomes more stressful. These are not small side issues. They are part of how tinnitus becomes dominant. Communication skills, sleep education, sound planning, and gradual re-engagement help you keep your life from shrinking around tinnitus.",45-60 sec,20-45 sec,67,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded by default,Edited Education Text -> Audio Transcript
About Tinnitus,7,What “multimodal” means,AT-006-MULTIMODAL,What “multimodal” means,"Multimodal simply means using more than one type of tool. Sound therapy can help with the sound environment. Mindfulness can help with attention. Distress tolerance can help with difficult moments. Cognitive reframing can help with thoughts that jump too far too fast. Sleep tools, self-compassion, and communication skills can help with the parts of life that tinnitus disrupts. No single tool has to do everything. Each tool gives you another way to influence the experience.",45-60 sec,20-45 sec,75,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded by default,Current Education Text -> Audio Transcript
About Tinnitus,8,How to use this app,AT-007-HOW,How to use this app,"This app is a guided educational companion. You can read, listen, practice, and come back to sections when you need them. The best way to begin is to understand the big picture, then start with sound therapy because it is often the most concrete first step. From there, the other sections build tools for attention, difficult moments, thoughts, sleep, self-support, and communication. You do not need to master everything at once.",45-60 sec,20-45 sec,71,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded by default,Current Education Text -> Audio Transcript
About Tinnitus,9,When extra support can help,AT-008-SUPPORT,When extra support can help,"Self-guided tools can be powerful, but they are not always easy to apply on your own. If you feel like you need individual help, feel confused, stuck, unsafe, or overwhelmed, support from an audiologist, ENT, mental health professional, sleep specialist, or other qualified clinician may be important. Getting help is not a failure. It is one of the ways people make these tools easier to use and more specific to their own situation.",35-45 sec,20-45 sec,73,Manual next; stop at end. Autoplay optional in settings and default off.,Collapsed by default,Edited Education Text -> Audio Transcript
About Tinnitus,10,Small efforts can build control,AT-009-EFFORT,Small efforts can build control,"Using these skills takes effort, and that can feel discouraging when tinnitus is already stressful. The goal is not to do everything perfectly. The goal is to test small strategies, notice what helps, and build a plan that gives you more influence over your day. Consistent sound use, gentle habit changes, a calmer response to thoughts, and short moments of mindfulness can all become evidence that tinnitus does not have to dominate every part of life.",45-60 sec,20-45 sec,76,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded by default,Edited Education Text -> Audio Transcript
About Tinnitus,11,Pause & Reflect: Why am I doing this?,AT-010-PAUSE,Pause & Reflect: Why am I doing this?,"Before you start learning tools, take a moment to name your reason for being here. Are you looking for relief, understanding, better sleep, more confidence, or a way to make everyday life feel easier? Then imagine six months from now. How would you want tinnitus to feel different, not only in sound, but in how it affects your experience? Finally, choose one small step you can take this week. Naming your why can make the rest of the work feel more connected to your life.",60-75 sec,20-45 sec,85,Manual next; stop at end. Autoplay optional in settings and default off.,Exercise card after education,Current Education Text -> Audio Transcript
About Tinnitus,12,Body / Mind / Life Exploration,AT-011-BML-EX,Body / Mind / Life Exploration,"This exercise helps you sort your tinnitus experience into three areas. Body includes physical or medical factors, such as hearing changes, sound sensitivity, injury, or other health issues. Mind includes thoughts, emotions, stress, and worry. Life includes routines, sleep, relationships, work, and environments. A few words in each area is enough. The purpose is not to diagnose yourself. The purpose is to see the whole picture and identify where a useful next step might be.",60-75 sec,20-45 sec,75,Manual next; stop at end. Autoplay optional in settings and default off.,Exercise card after education,Current Education Text -> Audio Transcript
About Tinnitus,13,Main points before you move on,AT-012-POINTS,Main points before you move on,"Tinnitus is more than sound. The sound matters, but stress, attention, sleep, thoughts, avoidance, and social life can all change how tinnitus feels. Looking at tinnitus through Body, Mind, and Life gives you more than one place to intervene. This app can be used on your own, but professional support can help when the skills feel difficult or when medical, hearing, sleep, or mental health concerns need attention. You do not need to solve everything today. Start with one useful step.",45-60 sec,20-45 sec,81,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded by default near end,Current Education Text -> Audio Transcript
About Tinnitus,14,A good next step: Sound Therapy,AT-013-NEXT,A good next step: Sound Therapy,"Sound Therapy is a good place to begin because it works directly with the sound environment. It can make tinnitus feel less isolated, reduce the contrast with silence, and set the stage for the emotional and behavioral tools that come later. If you are not sure where to go next, start there. You can always return to this section and update your Body / Mind / Life picture as your understanding changes.",35-45 sec,20-45 sec,70,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded by default at end,Current Education Text -> Audio Transcript
About Tinnitus,15,Scope and safety,AT-014-SAFETY,Scope and safety,"This app is educational. It can help you learn tinnitus management concepts and practice self-guided skills, but it is not medical advice, therapy, crisis support, or a replacement for appropriate care. If you feel unsafe or are in a mental health crisis, do not rely on this app. Seek immediate support through emergency services, crisis resources, or a qualified professional. Sudden hearing changes, new neurological symptoms, pulsatile tinnitus, one-sided tinnitus, severe sound sensitivity, persistent sleep problems, or significant distress deserve professional evaluation.",60-75 sec,20-45 sec,82,Manual next; stop at end. Autoplay optional in settings and default off.,Collapsed by default,Current Education Text -> Audio Transcript
Sound Therapy,1,Using helpful sounds to manage tinnitus,ST-V5-001,Using helpful sounds to manage tinnitus,"Sound therapy means using comfortable outside sound to make tinnitus less dominant in your listening environment. The goal is not to blast tinnitus away or prove that you can ignore it. The goal is to give your ears and brain another sound to work with so tinnitus can gradually become less central.

This is often one of the most practical starting points in tinnitus management because it works directly with the sound experience. When sound therapy is used consistently and comfortably, it can help set the stage for the other skills in this app, including acceptance, mindfulness, distress tolerance, cognitive reframing, and sleep support.",45-75 sec,20-45 sec,104,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Sound Therapy,2,What you will learn in this section,ST-V5-002,What you will learn in this section,"By the end of this section, you should understand why sound therapy can help the brain get used to tinnitus, how to choose sounds and devices that feel comfortable, and how to set the volume so tinnitus and sound therapy gently overlap.

The most important skill is finding the right volume level. Sound that is too quiet will not help much, while sound that completely covers tinnitus may become a form of avoidance. The useful range is where the sound therapy is clearly present, but tinnitus is not being pushed out of awareness entirely.",45-75 sec,20-45 sec,94,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Edited Education Text -> Audio Transcript
Sound Therapy,3,Why sound therapy helps,ST-V5-003,Why sound therapy helps,"When tinnitus is the only noticeable sound, the brain may treat it as the most important thing in the room. Sound therapy changes that listening environment. By adding a neutral or soothing background sound, you reduce the contrast between silence and tinnitus.

Over time, this can help the brain treat tinnitus as a lower-priority signal. It may still be there, but it does not have to take center stage or pull your attention as strongly. This process is gradual, and it works best when sound therapy is used patiently and consistently.",45-75 sec,20-45 sec,91,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Edited Education Text -> Audio Transcript
Sound Therapy,4,What sound therapy is,ST-V5-004,What sound therapy is,"Sound therapy means adding soft, steady, or soothing sound to your environment. This might come from a fan, a sound machine, a phone app, a speaker, open-ear headphones, or hearing aids. The sound does not have to be special or complicated. It just needs to be comfortable and useful for you.

Think of sound therapy as an auditory backdrop. The outside sound gives your brain something else to hear, so tinnitus is not standing alone in silence. The aim is not to erase tinnitus in the moment, but to make the listening environment easier for your brain to handle.",45-75 sec,20-45 sec,99,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Sound Therapy,5,A restaurant example,ST-V5-005,A restaurant example,"A simple way to understand sound therapy is to imagine sitting in a restaurant. Music, voices, and movement do not erase every small sound in the room, but they help those sounds blend into the background. The clink of silverware may still happen, but it usually does not demand your full attention.

Tinnitus can work in a similar way. When the room is completely quiet, tinnitus may feel isolated and intense. When gentle sound is added, tinnitus may still be present, but it has more competition and can begin to feel less intrusive.",45-75 sec,20-45 sec,93,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Sound Therapy,6,Why silence can make tinnitus feel louder,ST-V5-006,Why silence can make tinnitus feel louder,"Many people notice tinnitus most strongly in quiet. That does not necessarily mean tinnitus has become more dangerous or permanently louder. It may mean there is less outside sound competing for attention.

Sound therapy reduces the stark contrast between silence and tinnitus. That can lower the feeling that tinnitus is the only thing happening. For some people this helps with concentration, relaxation, evening routines, and sleep preparation. It also gives the brain repeated opportunities to learn that tinnitus can be present without needing an alarm response.",45-75 sec,20-45 sec,86,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
