Production Order,Audio ID,Source ID,Module,Screen ID(s),Topic,Audio Type,Target Length,Target Max Seconds,Estimated TTS Seconds @145wpm,Length Check,Final Asset Path,Script / Transcript,Transcript Required,Transcript Display,Playback Context,Embedded for MVP,Source Status,Production Status,Recording Priority,TTS Pass Status,Audio QA Status,Final Asset Status,Notes
1,AUD-SYS-001,AUD-SYS-001,About Tinnitus,SYS-001,First-launch Start Here Prompt,Short explainer / exercise,15-90 sec,90,13,OK / check in TTS,audio/about_tinnitus/sys_001_aud_sys_001.m4a,This app works best if you begin with the short About Tinnitus section. It explains why tinnitus management is bigger than sound therapy and how to use the rest of the app.,Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good | Promoted during closure pass.
2,AUD-000-OV,AUD-000-OV,About Tinnitus,AT-001,Start Here,Chapter overview,60-90 sec,90,21,OK / check in TTS,audio/about_tinnitus/p_000_aud_000_ov_start_here.m4a,"Welcome to the MPTinnitus app. The goal is not to promise a cure or tell you there is only one right way to manage tinnitus. The goal is to help you understand what is happening, try practical skills, and build a plan that makes the sound less dominant in your life.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Adjusted for app name.  
3,AUD-001-S,AUD-001-S,About Tinnitus,AT-002,Scope and Safety,Short explainer,15-30 sec,30,12,OK / check in TTS,audio/about_tinnitus/p_001_aud_001_s_scope_and_safety.m4a,"This app is educational. It can help you learn and practice self-management skills, but it does not replace medical care, audiology, therapy, or sleep care when needed.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Slight adjustment
4,AUD-002-S,AUD-002-S,About Tinnitus,AT-002,Privacy / Local Only,Short explainer,15-30 sec,30,9,OK / check in TTS,audio/about_tinnitus/p_002_aud_002_s_privacy_local_only.m4a,"Your preferences, journal entries, and exercise responses are meant to stay on this device. This is meant to maintain your privacy.  ",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Removed a lot of unneeded information.  
5,AUD-003-OV,AUD-003-OV,About Tinnitus,AT-003,Body / Mind / Life Model,Chapter overview,60-90 sec,90,19,OK / check in TTS,audio/about_tinnitus/p_003_aud_003_ov_body_mind_life_model.m4a,"Tinnitus often starts with sound, but the experience is shaped by more than sound. Hearing, stress, attention, sleep, thoughts, and social situations can all change how tinnitus feels. That is why this app looks at tinnitus from multiple angles instead of relying on one single tool.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good | V10 topic/asset renamed to Body / Mind / Life.
6,AUD-AT-SS-001,AUD-AT-SS-001,About Tinnitus,AT-003,Sound Sensitivity and Tinnitus,Short explainer / exercise,15-90 sec,90,16,OK / check in TTS,audio/about_tinnitus/at_ss_001_aud_at_ss_001.m4a,"Sound sensitivity often travels with tinnitus. If one improves, that can give useful momentum for the other. The goal is not to force sound, but to use comfortable, controlled sound and good skills to help the system feel safer.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good | Promoted during closure pass.
7,AUD-004-G,AUD-004-G,About Tinnitus,AT-004,Body / Mind / Life Exploration,Exercise walkthrough,60-90 sec,90,20,OK / check in TTS,audio/about_tinnitus/p_004_aud_004_g_body_mind_life_exploration.m4a,"Take a moment to look at the Body, Mind, and Life parts of your tinnitus experience. You do not need a perfect answer. A few words are enough. The purpose is to see the whole picture, so you can decide which tools may be most useful right now.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,"Good, but may change Body, Mind, and Life to our terms for it, Body / Mind / Life model | V10 wording updated to Body / Mind / Life."
8,NEW-AUD-AT-MODULES-001,NEW-AUD-AT-MODULES-001,About Tinnitus,AT-005,Module overview / interest selection,Short explainer,15-30 sec,30,21,OK / check in TTS,audio/about_tinnitus/at_modules_001_module_overview.m4a,"You can explore this app in any order. Each section gives you a different way to understand tinnitus and practice useful skills. Tap a card to learn more, and check the topics that feel most useful right now. Those choices stay on your device and can help highlight where to start.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,Approved gap script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
9,AUD-100-OV,AUD-100-OV,Sound Therapy,ST-001,Sound Therapy,Chapter overview,60-90 sec,90,18,OK / check in TTS,audio/sound_therapy/p_100_aud_100_ov_sound_therapy.m4a,"Sound therapy means using comfortable, neutral sound to make tinnitus less dominant in your environment. The goal is not to cover up your tinnitus. The goal is to give your brain other sound to work with so tinnitus can gradually become less important.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Changed ‘blast away’ to cover up.  
10,AUD-101-S,AUD-101-S,Sound Therapy,ST-001,What is Sound Therapy?,Short explainer,15-30 sec,30,12,OK / check in TTS,audio/sound_therapy/p_101_aud_101_s_what_is_sound_therapy.m4a,"Think of sound therapy as a helpful backdrop for your ears. A fan, rain sound, white noise, or another calm sound can reduce the contrast between silence and tinnitus.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Adjusted a bit
