loop,section_order,section_type,section_header,education_text,audio_segment_id,audio_transcript,target_audio_length,estimated_audio_length,audio_word_count,default_state,integrated_visual_tool,linked_practice_exercise,safety_scope_note,sync_source
About Tinnitus,1,Header card,Why Tinnitus Is More Than Noise,"Tinnitus often feels like it is only about the sound: the ringing, buzzing, hissing, pulsing, or other noise that will not seem to turn off. That sound is real, and it can be distressing. But the experience of tinnitus is also shaped by what is happening in your body, your mind, and your daily life. This section introduces that bigger picture so the rest of the app makes sense.",AT-000-OV,"Tinnitus often feels like it is only about the sound: the ringing, buzzing, hissing, pulsing, or other noise that will not seem to turn off. That sound is real, and it can be distressing. But the experience of tinnitus is also shaped by what is happening in your body, your mind, and your daily life. This section introduces that bigger picture so the rest of the app makes sense.",45-60 sec,20-45 sec,69,Always visible,Body / Mind / Life icon or three-part model,,,Current Education Text -> Audio Transcript
About Tinnitus,2,Education,Seeing the whole picture,"It is natural to focus on the sound first. When tinnitus feels loud or intrusive, it can seem like everything would be better if the sound simply disappeared. Sound matters, and sound therapy is still one of the core tools we will use. But tinnitus distress often grows when other parts of life get pulled into the cycle: poor sleep, stress, fear, frustration, avoidance, and feeling misunderstood. Looking at the whole picture gives you more places to make useful change.",AT-001-SEEING,"It is natural to focus on the sound first. When tinnitus feels loud or intrusive, it can seem like everything would be better if the sound simply disappeared. Sound matters, and sound therapy is still one of the core tools we will use. But tinnitus distress often grows when other parts of life get pulled into the cycle: poor sleep, stress, fear, frustration, avoidance, and feeling misunderstood. Looking at the whole picture gives you more places to make useful change.",45-60 sec,20-45 sec,80,Expanded by default,,,,Current Education Text -> Audio Transcript
About Tinnitus,3,Education,Why go beyond the sound?,"If tinnitus were only a hearing issue, then adding more sound would solve the whole problem. Many people do benefit from hearing aids, background sound, or other sound therapy tools, but those tools may not fully address the emotional and lifestyle impact of tinnitus. That does not mean sound therapy doesn’t work. It means tinnitus is being influenced by more than one system. The goal is not to find one perfect fix. The goal is to learn which parts of the experience you can influence, then build a plan around those levers.",AT-002-BEYOND,"If tinnitus were only a hearing issue, then adding more sound would solve the whole problem. Many people do benefit from hearing aids, background sound, or other sound therapy tools, but those tools may not fully address the emotional and lifestyle impact of tinnitus. That does not mean sound therapy doesn’t work. It means tinnitus is being influenced by more than one system. The goal is not to find one perfect fix. The goal is to learn which parts of the experience you can influence, then build a plan around those levers.",60-75 sec,20-45 sec,92,Expanded by default,Body / Mind / Life model appears after this section or within it.,,,Edited Education Text -> Audio Transcript
About Tinnitus,4,Education / Term drawer,"Body: hearing, sound, and the nervous system","The body side of tinnitus includes the physical and medical parts of tinnitus. This may include hearing loss, noise exposure, aging, medication effects, injury, jaw or neck factors, or changes in how the auditory system and nervous system respond to sound. Sound therapy and hearing care live here because they change what the ears and brain are receiving. If hearing loss is present, audiology care and appropriate amplification can be a major part of tinnitus management.",AT-003-BODY,"The body side of tinnitus includes the physical and medical parts of tinnitus. This may include hearing loss, noise exposure, aging, medication effects, injury, jaw or neck factors, or changes in how the auditory system and nervous system respond to sound. Sound therapy and hearing care live here because they change what the ears and brain are receiving. If hearing loss is present, audiology care and appropriate amplification can be a major part of tinnitus management.",45-60 sec,20-45 sec,76,Expanded by default,Body part of Body / Mind / Life diagram highlighted.,Body/Mind/Life Exploration,,Edited Education Text -> Audio Transcript
About Tinnitus,5,Education / Term drawer,"Mind: attention, emotion, and meaning","The mind side of tinnitus includes your reactions to tinnitus: attention, worry, fear, frustration, self-talk, and the meaning your brain attaches to the sound. This is not saying tinnitus is imaginary. The sound is real. The point is that your reaction to the sound can make it feel more threatening, more intrusive, or harder to live with. Skills like mindfulness, distress tolerance, cognitive reframing, acceptance, and self-compassion all work with this part of the tinnitus experience.",AT-004-MIND,"The mind side of tinnitus includes your reactions to tinnitus: attention, worry, fear, frustration, self-talk, and the meaning your brain attaches to the sound. This is not saying tinnitus is imaginary. The sound is real. The point is that your reaction to the sound can make it feel more threatening, more intrusive, or harder to live with. Skills like mindfulness, distress tolerance, cognitive reframing, acceptance, and self-compassion all work with this part of the tinnitus experience.",45-60 sec,20-45 sec,76,Expanded by default,Mind part of Body / Mind / Life diagram highlighted.,Body/Mind/Life Exploration,,Edited Education Text -> Audio Transcript
About Tinnitus,6,Education / Term drawer,"Life: sleep, routines, relationships, and the world around you","The life side of tinnitus includes the ways tinnitus changes your day-to-day routines and relationships. You might avoid quiet rooms, skip social events, struggle at work, feel misunderstood, or notice that sleep becomes more stressful. These are not small side issues. They are part of how tinnitus becomes dominant. Communication skills, sleep education, sound planning, and gradual re-engagement help you keep your life from shrinking around tinnitus.",AT-005-LIFE,"The life side of tinnitus includes the ways tinnitus changes your day-to-day routines and relationships. You might avoid quiet rooms, skip social events, struggle at work, feel misunderstood, or notice that sleep becomes more stressful. These are not small side issues. They are part of how tinnitus becomes dominant. Communication skills, sleep education, sound planning, and gradual re-engagement help you keep your life from shrinking around tinnitus.",45-60 sec,20-45 sec,67,Expanded by default,Life part of Body / Mind / Life diagram highlighted.,Body/Mind/Life Exploration,,Edited Education Text -> Audio Transcript
About Tinnitus,7,Education,What “multimodal” means,"Multimodal simply means using more than one type of tool. Sound therapy can help with the sound environment. Mindfulness can help with attention. Distress tolerance can help with difficult moments. Cognitive reframing can help with thoughts that jump too far too fast. Sleep tools, self-compassion, and communication skills can help with the parts of life that tinnitus disrupts. No single tool has to do everything. Each tool gives you another way to influence the experience.",AT-006-MULTIMODAL,"Multimodal simply means using more than one type of tool. Sound therapy can help with the sound environment. Mindfulness can help with attention. Distress tolerance can help with difficult moments. Cognitive reframing can help with thoughts that jump too far too fast. Sleep tools, self-compassion, and communication skills can help with the parts of life that tinnitus disrupts. No single tool has to do everything. Each tool gives you another way to influence the experience.",45-60 sec,20-45 sec,75,Expanded by default,Simple map from Body/Mind/Life to app modules.,,,Current Education Text -> Audio Transcript
About Tinnitus,8,Education,How to use this app,"This app is a guided educational companion. You can read, listen, practice, and come back to sections when you need them. The best way to begin is to understand the big picture, then start with sound therapy because it is often the most concrete first step. From there, the other sections build tools for attention, difficult moments, thoughts, sleep, self-support, and communication. You do not need to master everything at once.",AT-007-HOW,"This app is a guided educational companion. You can read, listen, practice, and come back to sections when you need them. The best way to begin is to understand the big picture, then start with sound therapy because it is often the most concrete first step. From there, the other sections build tools for attention, difficult moments, thoughts, sleep, self-support, and communication. You do not need to master everything at once.",45-60 sec,20-45 sec,71,Expanded by default,Optional app path map: About Tinnitus → Sound Therapy → Acceptance/Mindfulness → Tools.,Pause & Reflect / Why am I doing this?,,Current Education Text -> Audio Transcript
About Tinnitus,9,Education / Support,When extra support can help,"Self-guided tools can be powerful, but they are not always easy to apply on your own. If you feel like you need individual help, feel confused, stuck, unsafe, or overwhelmed, support from an audiologist, ENT, mental health professional, sleep specialist, or other qualified clinician may be important. Getting help is not a failure. It is one of the ways people make these tools easier to use and more specific to their own situation.",AT-008-SUPPORT,"Self-guided tools can be powerful, but they are not always easy to apply on your own. If you feel like you need individual help, feel confused, stuck, unsafe, or overwhelmed, support from an audiologist, ENT, mental health professional, sleep specialist, or other qualified clinician may be important. Getting help is not a failure. It is one of the ways people make these tools easier to use and more specific to their own situation.",35-45 sec,20-45 sec,73,Collapsed by default,,,,Edited Education Text -> Audio Transcript
About Tinnitus,10,Education,Small efforts can build control,"Using these skills takes effort, and that can feel discouraging when tinnitus is already stressful. The goal is not to do everything perfectly. The goal is to test small strategies, notice what helps, and build a plan that gives you more influence over your day. Consistent sound use, gentle habit changes, a calmer response to thoughts, and short moments of mindfulness can all become evidence that tinnitus does not have to dominate every part of life.",AT-009-EFFORT,"Using these skills takes effort, and that can feel discouraging when tinnitus is already stressful. The goal is not to do everything perfectly. The goal is to test small strategies, notice what helps, and build a plan that gives you more influence over your day. Consistent sound use, gentle habit changes, a calmer response to thoughts, and short moments of mindfulness can all become evidence that tinnitus does not have to dominate every part of life.",45-60 sec,20-45 sec,76,Expanded by default,,Pause & Reflect / Why am I doing this?,,Edited Education Text -> Audio Transcript
