Batch,Production Order,Audio ID,Module,Screen ID(s),Topic,Audio Type,Target Length,Estimated TTS Seconds @145wpm,Final Asset Path,Script / Transcript,Production Status,TTS Pass Status,Audio QA Status,Notes
B01 — About Tinnitus,1,AUD-SYS-001,About Tinnitus,SYS-001,First-launch Start Here Prompt,Short explainer / exercise,15-90 sec,13,audio/about_tinnitus/sys_001_aud_sys_001.m4a,This app works best if you begin with the short About Tinnitus section. It explains why tinnitus management is bigger than sound therapy and how to use the rest of the app.,Ready for TTS,Not generated,Not checked,Good | Promoted during closure pass.
B01 — About Tinnitus,2,AUD-000-OV,About Tinnitus,AT-001,Start Here,Chapter overview,60-90 sec,21,audio/about_tinnitus/p_000_aud_000_ov_start_here.m4a,"Welcome to the MPTinnitus app. The goal is not to promise a cure or tell you there is only one right way to manage tinnitus. The goal is to help you understand what is happening, try practical skills, and build a plan that makes the sound less dominant in your life.",Ready for TTS,Not generated,Not checked,Adjusted for app name.  
B01 — About Tinnitus,3,AUD-001-S,About Tinnitus,AT-002,Scope and Safety,Short explainer,15-30 sec,12,audio/about_tinnitus/p_001_aud_001_s_scope_and_safety.m4a,"This app is educational. It can help you learn and practice self-management skills, but it does not replace medical care, audiology, therapy, or sleep care when needed.",Ready for TTS,Not generated,Not checked,Slight adjustment
B01 — About Tinnitus,4,AUD-002-S,About Tinnitus,AT-002,Privacy / Local Only,Short explainer,15-30 sec,9,audio/about_tinnitus/p_002_aud_002_s_privacy_local_only.m4a,"Your preferences, journal entries, and exercise responses are meant to stay on this device. This is meant to maintain your privacy.  ",Ready for TTS,Not generated,Not checked,Removed a lot of unneeded information.  
B01 — About Tinnitus,5,AUD-003-OV,About Tinnitus,AT-003,Body / Mind / Life Model,Chapter overview,60-90 sec,19,audio/about_tinnitus/p_003_aud_003_ov_body_mind_life_model.m4a,"Tinnitus often starts with sound, but the experience is shaped by more than sound. Hearing, stress, attention, sleep, thoughts, and social situations can all change how tinnitus feels. That is why this app looks at tinnitus from multiple angles instead of relying on one single tool.",Ready for TTS,Not generated,Not checked,Good | V10 topic/asset renamed to Body / Mind / Life.
B01 — About Tinnitus,6,AUD-AT-SS-001,About Tinnitus,AT-003,Sound Sensitivity and Tinnitus,Short explainer / exercise,15-90 sec,16,audio/about_tinnitus/at_ss_001_aud_at_ss_001.m4a,"Sound sensitivity often travels with tinnitus. If one improves, that can give useful momentum for the other. The goal is not to force sound, but to use comfortable, controlled sound and good skills to help the system feel safer.",Ready for TTS,Not generated,Not checked,Good | Promoted during closure pass.
B01 — About Tinnitus,7,AUD-004-G,About Tinnitus,AT-004,Body / Mind / Life Exploration,Exercise walkthrough,60-90 sec,20,audio/about_tinnitus/p_004_aud_004_g_body_mind_life_exploration.m4a,"Take a moment to look at the Body, Mind, and Life parts of your tinnitus experience. You do not need a perfect answer. A few words are enough. The purpose is to see the whole picture, so you can decide which tools may be most useful right now.",Ready for TTS,Not generated,Not checked,"Good, but may change Body, Mind, and Life to our terms for it, Body / Mind / Life model | V10 wording updated to Body / Mind / Life."
B01 — About Tinnitus,8,NEW-AUD-AT-MODULES-001,About Tinnitus,AT-005,Module overview / interest selection,Short explainer,15-30 sec,21,audio/about_tinnitus/at_modules_001_module_overview.m4a,"You can explore this app in any order. Each section gives you a different way to understand tinnitus and practice useful skills. Tap a card to learn more, and check the topics that feel most useful right now. Those choices stay on your device and can help highlight where to start.",Ready for TTS,Not generated,Not checked,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
B02 — Sound Therapy,9,AUD-100-OV,Sound Therapy,ST-001,Sound Therapy,Chapter overview,60-90 sec,18,audio/sound_therapy/p_100_aud_100_ov_sound_therapy.m4a,"Sound therapy means using comfortable, neutral sound to make tinnitus less dominant in your environment. The goal is not to cover up your tinnitus. The goal is to give your brain other sound to work with so tinnitus can gradually become less important.",Ready for TTS,Not generated,Not checked,Changed ‘blast away’ to cover up.  
B02 — Sound Therapy,10,AUD-101-S,Sound Therapy,ST-001,What is Sound Therapy?,Short explainer,15-30 sec,12,audio/sound_therapy/p_101_aud_101_s_what_is_sound_therapy.m4a,"Think of sound therapy as a helpful backdrop for your ears. A fan, rain sound, white noise, or another calm sound can reduce the contrast between silence and tinnitus.",Ready for TTS,Not generated,Not checked,Adjusted a bit
B02 — Sound Therapy,11,AUD-102-S,Sound Therapy,ST-001,Why Sound Helps,Short explainer,15-30 sec,12,audio/sound_therapy/p_102_aud_102_s_why_sound_helps.m4a,"Tinnitus often stands out most in quiet. Adding soft sound should not erase tinnitus, but it can make the sound less isolated and less demanding of your attention.",Ready for TTS,Not generated,Not checked,Slight adjustment
B02 — Sound Therapy,12,AUD-105-S,Sound Therapy,"ST-001, ST-003",Choosing Sounds,Short explainer,15-30 sec,14,audio/sound_therapy/p_105_aud_105_s_choosing_sounds.m4a,"There is no perfect sound for everyone. Some people like rain, some like crickets, some like a fan, and some prefer a steady noise. The best sound is one you can comfortably use over time.",Ready for TTS,Not generated,Not checked,Great! | Also placed on screen ST-003
