audio_id,status,module,title,rendered_filename,normalized_filename,original_asset_path,final_asset_path,size_bytes,duration_seconds,bit_rate,sample_rate,channels,codec
ACPT-V5-001,manifest_missing_from_full_render_existing_resource,Acceptance and Change,Acceptance and change can work together,,,audio/narration/ACPT-V5-001.mp3,audio/narration/ACPT-V5-001.mp3,583515,36.440816,128000,44100,1,mp3
ACPT-V5-002,matched_imported,Acceptance and Change,What you will learn,ACPT-V5-002.mp3,ACPT-V5-002.mp3,audio/v5/acceptance_and_change/acpt_v5_002.m4a,audio/narration/ACPT-V5-002.mp3,316021,19.722449,128000,44100,1,mp3
ACPT-V5-003,matched_imported,Acceptance and Change,Pause and reflect: what happened last time?,ACPT-V5-003.mp3,ACPT-V5-003.mp3,audio/v5/acceptance_and_change/acpt_v5_003.m4a,audio/narration/ACPT-V5-003.mp3,418421,26.122449,128000,44100,1,mp3
ACPT-V5-004,matched_imported,Acceptance and Change,Acceptance means noticing what is here,ACPT-V5-004.mp3,ACPT-V5-004.mp3,audio/v5/acceptance_and_change/acpt_v5_004.m4a,audio/narration/ACPT-V5-004.mp3,410479,25.626122,128000,44100,1,mp3
ACPT-V5-005,matched_imported,Acceptance and Change,Change means acting where you have influence,ACPT-V5-005.mp3,ACPT-V5-005.mp3,audio/v5/acceptance_and_change/acpt_v5_005.m4a,audio/narration/ACPT-V5-005.mp3,461888,28.839184,128000,44100,1,mp3
ACPT-V5-006,matched_imported,Acceptance and Change,Acceptance is not resignation,ACPT-V5-006.mp3,ACPT-V5-006.mp3,audio/v5/acceptance_and_change/acpt_v5_006.m4a,audio/narration/ACPT-V5-006.mp3,438901,27.402449,128000,44100,1,mp3
ACPT-V5-007,matched_imported,Acceptance and Change,Why trying only to eliminate tinnitus can backfire,ACPT-V5-007.mp3,ACPT-V5-007.mp3,audio/v5/acceptance_and_change/acpt_v5_007.m4a,audio/narration/ACPT-V5-007.mp3,524582,32.757551,128000,44100,1,mp3
ACPT-V5-008,matched_imported,Acceptance and Change,Avoidance can make life smaller,ACPT-V5-008.mp3,ACPT-V5-008.mp3,audio/v5/acceptance_and_change/acpt_v5_008.m4a,audio/narration/ACPT-V5-008.mp3,468158,29.231020,128000,44100,1,mp3
ACPT-V5-009,matched_imported,Acceptance and Change,Sound therapy shows acceptance and change together,ACPT-V5-009.mp3,ACPT-V5-009.mp3,audio/v5/acceptance_and_change/acpt_v5_009.m4a,audio/narration/ACPT-V5-009.mp3,515805,32.208980,128000,44100,1,mp3
ACPT-V5-010,matched_imported,Acceptance and Change,The Yes AND mindset,ACPT-V5-010.mp3,ACPT-V5-010.mp3,audio/v5/acceptance_and_change/acpt_v5_010.m4a,audio/narration/ACPT-V5-010.mp3,453111,28.290612,128000,44100,1,mp3
